TeamA;TeamB;TSegment;T;Goalkeeper;ScoreA;ScoreB;Period;MatchStatus;Obtainingtheball;Technicalaction;Movement;Lenght;Orientation;Precision;Scoringopportunity
2;1;1;0:01:39;1;0;0;1;0;2;5;1;2;1;3;0
2;1;1;0:04:41;1;0;0;1;0;2;4;1;4;2;1;0
2;1;2;0:06:17;1;0;1;1;-1;2;4;1;4;2;2;0
2;1;2;0:07:59;1;0;1;1;-1;2;4;1;3;1;3;0
2;1;2;0:09:59;1;0;1;1;-1;2;1;1;2;2;3;0
2;1;3;0:11:01;1;0;1;1;-1;2;2;1;2;2;3;0
2;1;4;0:01:02;1;0;1;2;-1;2;1;1;2;3;3;0
2;1;4;0:01:47;1;0;1;2;-1;2;4;1;4;2;3;0
2;1;4;0:04:00;1;0;1;2;-1;2;1;1;4;3;3;0
2;1;5;0:07:07;1;0;1;2;-1;2;1;1;3;2;3;0
2;1;5;0:08:18;1;0;1;2;-1;2;4;1;4;2;3;0
2;1;5;0:09:20;1;0;1;2;-1;2;4;1;4;2;3;0
2;1;6;0:11:23;1;0;1;2;-1;2;1;1;4;3;2;0
2;1;2;0:05:47;2;0;1;1;1;2;1;0;1;3;1;1
2;1;2;0:07:46;2;0;1;1;1;2;4;1;3;1;1;1
2;1;4;0:00:07;2;0;1;2;1;1;4;1;1;2;1;0
2;1;4;0:01:53;2;0;1;2;1;1;5;1;1;1;1;0
2;1;4;0:04:07;2;0;1;2;1;2;1;0;1;1;1;0
2;1;5;0:07:46;2;0;1;2;1;2;1;1;1;3;1;0
2;1;6;0:11:31;2;0;1;2;1;2;5;1;1;1;1;0
3;1;1;0:01:15;1;0;0;1;0;2;5;1;1;1;1;0
3;1;1;0:01:20;1;0;0;1;0;1;4;1;1;3;1;0
3;1;1;0:01:31;1;0;0;1;0;1;4;1;2;2;2;0
3;1;1;0:01:39;1;0;0;1;0;2;5;1;1;2;1;0
3;1;1;0:02:16;1;0;0;1;0;2;5;1;1;1;1;0
3;1;2;0:07:18;1;0;0;1;0;2;1;1;2;3;3;0
3;1;1;0:02:30;2;0;0;1;0;2;5;1;1;1;1;0
3;1;2;0:05:33;2;0;0;1;0;2;1;1;1;1;1;0
3;1;2;0:09:20;1;0;1;1;-1;2;2;1;1;1;1;0
3;1;3;0:10:13;2;0;1;1;1;2;5;1;1;1;1;0
3;1;3;0:10:37;2;0;1;1;1;2;1;1;1;1;1;1
3;1;3;0:14:30;1;0;3;1;-1;2;1;1;1;1;1;0
3;1;3;0:14:46;1;0;3;1;-1;1;4;1;1;1;1;0
3;1;4;0:01:19;1;0;3;2;-1;2;5;1;1;3;1;0
3;1;4;0:04:01;1;0;3;2;-1;2;1;0;1;1;1;0
3;1;5;0:05:20;1;0;3;2;-1;2;5;1;1;1;1;0
3;1;5;0:06:41;1;0;3;2;-1;2;5;1;1;3;1;0
3;1;5;0:08:02;1;0;3;2;-1;2;1;1;1;1;1;0
3;1;6;0:11:03;1;0;3;2;-1;2;5;1;1;3;1;0
3;1;6;0:11:22;1;0;3;2;-1;1;4;1;1;1;1;0
3;1;3;0:14:03;2;0;3;1;1;2;4;1;1;2;3;0
3;1;3;0:15:08;2;0;3;1;1;2;5;1;1;2;1;0
3;1;4;0:02:18;2;0;3;2;1;2;1;1;2;2;1;0
3;1;4;0:04:42;2;0;3;2;1;1;4;1;1;2;1;0
3;1;5;0:05:02;2;0;3;2;1;2;4;1;2;2;1;1
3;1;6;0:10:33;2;0;3;2;1;2;4;1;1;2;1;0
3;1;6;0:14:50;1;0;5;2;-1;1;4;1;1;3;1;0
4;2;1;0:02:06;1;0;0;1;0;2;1;1;1;1;1;0
4;2;1;0:03:45;1;0;0;1;0;2;1;0;1;1;1;0
4;2;1;0:04:15;1;0;0;1;0;2;1;1;1;3;1;0
4;2;1;0:04:50;1;0;0;1;0;1;4;1;1;1;1;0
4;2;2;0:08:24;1;0;0;1;0;2;1;1;1;2;3;1
4;2;2;0:07:04;2;0;0;1;0;1;4;1;1;3;1;0
4;2;2;0:07:10;2;0;0;1;0;1;4;1;1;1;1;0
4;2;3;0:15:25;1;0;1;1;-1;2;5;1;1;1;1;0
4;2;4;0:00:39;1;0;1;2;-1;2;5;1;1;2;2;0
4;2;4;0:02:28;1;0;1;2;-1;1;5;1;1;3;1;0
4;2;5;0:07:39;1;0;1;2;-1;2;1;1;1;1;1;0
4;2;5;0:09:37;1;0;1;2;-1;2;4;1;3;2;3;0
4;2;6;0:11:33;1;0;1;2;-1;1;4;1;1;3;1;0
4;2;3;0:10:51;2;0;1;1;1;1;4;1;1;1;1;0
4;2;3;0:11:08;2;0;1;1;1;2;1;1;1;3;1;0
4;2;3;0:14:11;2;0;1;1;1;1;4;1;1;1;1;0
4;2;5;0:08:58;2;0;1;2;1;2;1;1;3;3;3;0
4;2;6;0:11:20;2;0;1;2;1;2;5;1;1;1;1;0
4;2;6;0:13:15;2;0;1;2;1;2;1;1;3;2;3;0
4;2;6;0:13:29;2;0;1;2;1;2;4;1;4;3;2;0
4;2;6;0:14:29;2;0;1;2;1;2;4;1;3;2;3;0
4;2;6;0:14:46;2;0;1;2;1;2;4;1;3;2;2;0
4;2;6;0:15:30;2;0;1;2;1;2;1;1;2;2;3;0
5;2;1;0:04:40;1;1;0;1;1;2;1;1;1;1;1;0
5;2;2;0:05:04;1;1;0;1;1;2;1;1;1;2;1;0
5;2;2;0:06:40;1;1;0;1;1;2;1;1;1;3;1;0
5;2;2;0:07:46;1;1;0;1;1;2;3;1;1;2;1;0
5;2;2;0:07:47;1;1;0;1;1;1;4;1;1;3;1;0
5;2;2;0:09:48;1;1;0;1;1;2;1;1;3;2;1;0
5;2;2;0:05:51;2;1;0;1;-1;1;4;1;1;3;1;0
5;2;2;0:05:59;2;1;0;1;-1;1;4;1;3;2;1;0
5;2;2;0:08:35;2;1;0;1;-1;2;4;1;4;2;3;0
5;2;2;0:09:32;2;1;0;1;-1;2;5;1;1;2;1;0
5;2;3;0:10:04;2;1;0;1;-1;2;4;1;3;1;3;0
5;2;3;0:10:41;2;1;0;1;-1;2;5;1;1;1;1;0
5;2;3;0:11:41;1;2;0;1;1;2;5;1;1;2;1;1
5;2;3;0:13:03;1;2;0;1;1;2;5;1;1;3;1;0
5;2;3;0:13:12;1;2;0;1;1;1;4;1;3;2;1;0
5;2;3;0:14:21;1;2;0;1;1;1;4;1;1;3;1;0
5;2;4;0:02:09;1;2;0;2;1;1;4;1;1;1;1;0
