TeamA;TeamB;ScoreA;ScoreB;MatchStatus;Goalkeeper;Period;TSegment;T;Typeofattack;Locationpass;Bodypartpass;Playerwhoshoot;Jump;Drop;Movement;Dive;Technicalaction;Zonegkintervention;Zoneofthgoal;Fieldzoneshots;Bodypartshots;Goal
2;1;0;1;1;2;2;6;0:12:25;3;14;1;0;0;0;3;0;0;1;15;0;0;0
2;3;0;0;0;1;1;2;0:08:39;3;18;2;0;0;0;2;0;0;1;15;0;0;0
5;2;0;0;0;2;1;1;0:01:32;3;14;1;1;0;0;3;0;0;1;15;11;3;0
6;10;0;0;0;2;2;5;0:05:03;2;2;1;1;0;0;2;0;0;2;15;2;2;0
8;6;0;0;0;2;1;1;0:01:27;3;14;1;0;0;0;3;0;0;1;15;0;0;0
13;15;0;1;1;2;1;1;0:01:35;3;14;1;0;0;0;7;0;0;1;15;0;0;0
13;15;0;1;1;2;1;3;0:11:28;3;18;2;0;0;0;2;0;0;1;15;8;3;0
18;16;1;2;-1;1;2;5;0:09:12;3;18;2;0;0;0;3;0;0;1;15;0;0;0
1;4;0;0;0;2;2;6;0:12:12;3;14;1;0;0;0;3;0;0;1;15;0;0;0
16;17;0;0;0;1;2;4;0:04:45;3;18;2;0;0;0;3;0;0;1;15;0;0;0
3;4;0;0;0;2;1;2;0:06:00;1;19;1;1;0;0;1;0;0;2;14;6;3;0
3;4;0;1;1;2;2;5;0:06:00;1;19;1;1;0;0;1;0;0;2;14;6;3;0
4;5;1;0;-1;2;2;4;0:02:35;1;2;2;1;0;0;2;0;0;2;14;5;2;0
8;6;0;1;-1;1;1;2;0:08:07;2;2;1;1;0;0;4;0;0;2;14;6;2;0
16;19;0;0;0;1;1;2;0:06:57;3;18;1;1;1;0;2;0;0;1;14;3;1;0
18;16;1;2;-1;1;2;5;0:08:32;3;14;2;0;0;0;3;0;0;1;14;0;0;0
19;17;1;1;0;2;1;2;0:07:29;3;14;1;0;0;0;3;0;0;1;14;0;0;0
2;1;0;1;-1;1;2;5;0:06:41;3;14;1;1;0;0;2;0;0;1;13;1;3;0
6;10;0;0;0;2;1;3;0:14:48;1;19;1;1;0;0;3;0;0;2;13;9;2;0
15;14;1;1;0;1;1;2;0:06:49;3;14;1;0;0;0;3;0;0;2;13;0;0;0
16;19;0;0;0;1;1;3;0:10:12;3;2;0;1;1;0;3;0;0;2;13;12;2;0
16;17;0;0;0;1;2;5;0:07:24;3;1;2;0;0;1;3;0;0;1;13;0;0;0
1;4;0;0;0;1;2;4;0:02:48;2;0;0;1;0;0;3;0;0;1;12;6;2;0
1;5;0;0;0;2;1;1;0:02:00;1;3;1;1;0;0;2;0;0;2;12;9;3;0
1;5;0;0;0;1;1;2;0:07:00;3;18;1;1;0;0;3;0;0;1;12;12;1;0
1;5;1;0;-1;2;2;4;0:03:40;3;14;3;1;0;0;3;0;0;1;12;11;1;0
2;1;0;1;-1;1;1;2;0:09:34;1;12;1;1;0;0;3;0;0;1;12;11;1;0
2;1;0;1;-1;1;2;4;0:03:28;3;14;1;1;0;0;2;0;0;1;12;4;3;0
2;3;0;0;0;2;2;4;0:01:00;1;2;1;1;0;0;3;0;0;1;12;14;1;0
2;3;0;0;0;1;2;4;0:03:01;1;9;2;1;0;0;3;0;0;1;12;8;3;0
4;2;0;1;-1;1;2;5;0:07:20;1;19;2;1;0;0;3;0;0;1;12;6;2;0
4;5;1;0;1;1;1;2;0:09:18;1;2;1;1;0;0;2;0;0;2;12;9;1;0
5;2;1;0;1;1;1;1;0:04:26;1;6;2;1;0;0;3;0;0;1;12;12;1;0
6;7;0;0;0;2;1;1;0:03:23;3;0;0;1;0;0;3;0;0;1;12;6;1;0
6;7;1;0;1;1;2;5;0:05:27;2;2;1;1;0;0;2;0;0;1;12;6;1;0
6;10;0;0;0;1;2;6;0:11:50;2;0;0;1;0;0;3;0;0;2;12;12;1;0
7;8;0;0;0;2;1;2;0:07:17;3;0;0;1;0;0;3;0;0;1;12;9;1;0
7;8;0;0;0;2;1;2;0:08:12;2;19;1;1;0;0;3;0;0;1;12;9;2;0
7;8;0;0;0;2;2;5;0:06:21;2;19;1;1;0;0;2;0;0;1;12;9;2;0
7;10;0;0;0;2;2;4;0:01:52;3;2;2;1;0;0;3;0;0;1;12;11;3;0
